(11,8,1)
(4,10,2)
(9,1,1)
(7,6,2)
(5,7,1)
(10,6,2)
(1,9,1)
(7,10,2)
(6,1,1)
(7,11,2)
(10,7,1)
(3,6,2)
(4,6,1)
(11,7,2)
(7,9,1)
(4,2,2)
(2,3,1)
(10,2,2)
(10,3,1)
(11,6,2)
(4,5,1)
(2,7,2)
(2,9,1)
(11,5,2)
(8,6,1)
(2,4,2)
(11,11,1)
(4,4,2)
(2,8,1)
(8,9,2)
(7,8,1)
(8,10,2)
(10,11,1)
(6,5,2)
(1,7,1)
(5,5,2)
(3,1,1)
(4,9,2)
(3,9,1)
(8,1,2)
(3,8,1)
(9,8,2)
(2,2,1)
(1,5,2)
(3,11,1)
(5,10,2)
(9,9,1)
(1,3,2)
(3,3,1)
(2,10,2)
(6,11,1)
(8,5,2)
(10,1,1)
(2,1,2)
(6,10,1)
(11,9,2)
(7,2,1)
(10,10,2)
(5,8,1)
(4,8,2)
(11,2,1)
(6,8,2)
(1,8,1)
(6,2,2)
(1,1,1)
(8,2,2)
(3,5,1)
(2,11,2)
(9,2,1)
(2,5,2)
(1,10,1)
(10,8,2)
(7,3,1)
(11,3,2)
(1,6,1)
(9,3,2)
(1,4,1)
(3,7,2)
(8,3,1)
(5,2,2)
(4,3,1)
(10,5,2)
(5,11,1)
(6,9,2)
(6,6,1)
(9,5,2)
(7,7,1)
(5,1,2)
(8,4,1)
(5,4,2)
(3,4,1)
(7,5,2)
(11,1,1)
(5,6,2)
(6,3,1)
(8,8,2)
(6,4,1)
(10,9,2)
(9,11,1)
(7,4,2)
(4,11,1)
(4,1,2)
(9,4,1)
(2,6,2)
(10,4,1)
(3,10,2)
(1,11,1)
(9,10,2)
(8,11,1)
(3,2,2)
(6,7,1)
(5,3,2)
